Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
DU01,-33.2322,117.4253,330,15.4,0.5,4.7,25.8,10.9,21.3,9.9,426,74,63,42,7,5.2,3.41,0.154,67,4,110,1.06,2.68,0.22,1.4,3,95.6,5,4,Avon Wheatbelt
DU02,-33.0853,117.7819,340,15.5,0.5,4.5,26.3,10.9,21.6,9.9,385,64,58,42,5,5.5,2.15,0.104,86,2,98,0.91,2.76,0.18,2.9,2.9,94.2,5,3,Avon Wheatbelt
DU03,-33.0772,117.6956,423,15.1,0.5,4.2,26.2,10.4,21.2,9.4,408,69,59,44,4,6,2.8,0.103,61,2,76,0.82,3.52,0.16,2.8,2.1,95.1,4,2,Avon Wheatbelt
DU04,-33.05,117.6842,399,15.2,0.5,4.3,26.3,10.5,21.3,9.6,403,68,60,43,7,5.5,1.24,0.043,26,2,26,0.28,1.34,0.06,1.5,0.7,97.9,1,9,Avon Wheatbelt
DU06,-33.3789,117.6419,272,15.6,0.51,5,25.5,11.2,21.4,10.2,399,66,57,43,130,5.7,1.81,0.104,79,2,120,12.54,10.05,0.53,1.2,3.5,95.3,4,2,Avon Wheatbelt
DU07,-33.7186,117.855,281,15.2,0.51,5.1,24.1,11.1,20.6,10.2,400,62,54,44,210,6.2,1.47,0.076,60,3,95,5.57,4.69,0.2,5.2,2.9,94.8,4,2,Avon Wheatbelt
DU09,-33.4522,118.1158,305,15.4,0.51,4.8,25,11,21,10.1,389,61,54,45,12,5.8,1.76,0.063,41,2,63,1.26,2.94,0.14,4.5,3.1,92.4,4,1,Mallee
DU10,-33.3361,118.2594,367,15.2,0.51,4.5,25.3,10.8,20.9,9.8,373,58,52,45,56,6.2,3.64,0.178,290,27,450,6.32,11.38,0.75,11.1,4.8,84.1,4,1,Mallee
DU11,-33.3425,118.2594,363,15.2,0.51,4.5,25.3,10.8,20.9,9.8,373,58,52,45,11,6.5,3.69,0.124,72,3,310,2.49,9.79,0.6,4.9,2.2,92.9,2,2,Mallee
DU12,-33.3575,118.3142,352,15.3,0.51,4.6,25.2,10.8,20.9,9.9,366,57,51,45,2,5.9,0.95,0.031,28,0.2,100,0.19,0.84,0.04,6.6,1.2,92.2,1,9,Mallee
DU14,-33.2316,117.4319,328,15.4,0.5,4.8,25.8,10.9,21.3,9.9,425,73,63,42,37,5.5,7.49,0.18,84,5,260,3.04,4.1,0.43,3.8,2.4,93.8,4,3,Avon Wheatbelt
DU15,-33.0642,117.6967,416,15.1,0.5,4.2,26.2,10.4,21.2,9.5,406,68,60,43,6,6.4,3.32,0.144,120,6,220,1.53,7.57,0.36,7.5,2.4,90.1,4,2,Avon Wheatbelt
DU16,-33.0892,117.7796,340,15.5,0.5,4.5,26.3,10.9,21.6,9.9,385,64,58,42,11,6,3.26,0.135,110,7,180,1.92,7.36,0.34,6.7,1.7,91.5,2,2,Avon Wheatbelt
DU17,-33.0892,117.8378,310,15.7,0.5,4.6,26.3,11.1,21.7,10.1,376,62,57,41,14,5.9,2.82,0.116,92,6,150,2.16,5.64,0.28,3,2.1,94.9,4,1,Avon Wheatbelt
DU18,-33.1017,117.8357,306,15.7,0.51,4.7,26.3,11.1,21.7,10.1,376,62,57,41,92,6.2,2.34,0.1,64,2,200,5.78,4.79,0.34,3.9,1.9,94.3,4,2,Avon Wheatbelt
DU19,-33.7155,117.8539,281,15.2,0.51,5.1,24.1,11.1,20.6,10.2,401,62,54,44,4,5.4,0.9,0.033,17,0.2,17,0.2,1.14,0.03,6.4,1.1,92.5,1,9,Avon Wheatbelt
